,Country/Territory,Region,C/T,2013_A1,2013_B4,2013_D1,2013_D4,2014_A1,2014_B4,2014_D1,2014_D4,2015_A1,2015_B4,2015_D1,2015_D4,2016_A1,2016_B4,2016_D1,2016_D4,2017_A1,2017_B4,2017_D1,2017_D4,2018_A1,2018_B4,2018_D1,2018_D4,2019_A1,2019_B4,2019_D1,2019_D4,2020_A1,2020_B4,2020_D1,2020_D4,2021_A1,2021_B4,2021_D1,2021_D4,2022_A1,2022_B4,2022_D1,2022_D4,2023_A1,2023_B4,2023_D1,2023_D4,2024_A1,2024_B4,2024_D1,2024_D4
0,Abkhazia,Eurasia,t,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0
1,Afghanistan,Asia,c,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,Albania,Europe,c,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0
3,Algeria,Africa,c,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
4,Andorra,Europe,c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
5,Angola,Africa,c,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0
6,Antigua and Barbuda,Americas,c,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
7,Argentina,Americas,c,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
8,Armenia,Eurasia,c,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
9,Australia,Asia,c,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
10,Austria,Europe,c,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
11,Azerbaijan,Eurasia,c,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,The Bahamas,Americas,c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
13,Bahrain,Middle East,c,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,Bangladesh,Asia,c,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
15,Barbados,Americas,c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
